,Strike,Signal_Type,Candle_Start_Time,Candle_End_Time,Signal_Time,Signal_Price,New_Signal,Timeframe
6,NIFTY2161715550PE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:05:03.024460,6.15,NA,5minute
7,NIFTY2161715400PE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:05:03.678523,3.55,NA,5minute
8,NIFTY2161715300PE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:05:04.063528,2.8,NA,5minute
9,BANKNIFTY2161735200CE,-1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:05:04.616840,180.85,NA,5minute
10,BANKNIFTY2161735300CE,-1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:05:04.820849,138.0,NA,5minute
11,BANKNIFTY2161735500CE,-1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:05:05.214670,76.45,NA,5minute
12,BANKNIFTY2161735600CE,-1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:05:05.400124,55.5,NA,5minute
13,BANKNIFTY2161735700CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:05:05.609110,40.7,NA,5minute
14,BANKNIFTY2161735800CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:05:05.819338,30.6,NA,5minute
15,BANKNIFTY2161736000CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:05:06.241902,19.6,NA,5minute
16,BANKNIFTY2161734700PE,1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:05:07.214891,63.65,NA,5minute
17,BANKNIFTY2161734600PE,1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:05:07.394741,50.7,NA,5minute
18,NIFTY2161715800CE,-1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:05:08.800060,57.6,NA,5minute
19,NIFTY2161715850CE,-1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:05:09.016938,35.9,NA,5minute
20,NIFTY2161715900CE,-1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:05:09.202457,21.1,NA,5minute
21,NIFTY2161716050CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:05:09.946246,4.15,NA,5minute
22,NIFTY2161716250CE,1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:05:10.706291,2.1,NA,5minute
23,NIFTY2161715700PE,1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:05:10.884490,23.6,NA,5minute
24,NIFTY2161715550PE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:05:11.469720,6.1,NA,5minute
25,NIFTY2161715400PE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:05:12.173018,3.55,NA,5minute
26,NIFTY2161715300PE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:05:12.569684,2.8,NA,5minute
27,BANKNIFTY2161735200CE,-1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:05:13.071820,180.85,NA,5minute
28,BANKNIFTY2161735300CE,-1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:05:13.265704,138.5,NA,5minute
29,BANKNIFTY2161735500CE,-1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:05:13.707467,76.45,NA,5minute
30,BANKNIFTY2161735600CE,-1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:05:13.895202,55.5,NA,5minute
31,BANKNIFTY2161735700CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:05:14.121816,40.35,NA,5minute
32,BANKNIFTY2161735800CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:05:14.337192,30.55,NA,5minute
33,BANKNIFTY2161736000CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:05:14.709475,19.6,NA,5minute
34,BANKNIFTY2161734700PE,1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:05:15.730102,64.15,NA,5minute
0,NIFTY2161715800CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:00.382110,58.25,NA,5minute
1,NIFTY2161715850CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:00.579498,36.3,NA,5minute
2,NIFTY2161715900CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:00.767879,20.85,NA,5minute
3,NIFTY2161716250CE,1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:02.312187,2.0,NA,5minute
4,NIFTY2161715650PE,1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:02.685906,14.75,NA,5minute
5,NIFTY2161715550PE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:03.081928,6.2,NA,5minute
6,NIFTY2161715450PE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:03.467018,3.95,NA,5minute
7,NIFTY2161715300PE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:04.064367,2.75,NA,5minute
8,BANKNIFTY2161735200CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:04.581027,178.05,NA,5minute
9,BANKNIFTY2161735300CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:04.771999,137.0,NA,5minute
10,BANKNIFTY2161735500CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:05.138054,76.05,NA,5minute
11,BANKNIFTY2161735600CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:05.357270,54.95,NA,5minute
12,BANKNIFTY2161735700CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:05.535233,40.1,NA,5minute
13,BANKNIFTY2161735800CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:05.709744,30.15,NA,5minute
14,BANKNIFTY2161736000CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:06.092352,19.2,NA,5minute
15,BANKNIFTY2161735000PE,1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:06.480379,143.85,NA,5minute
16,BANKNIFTY2161734600PE,1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:07.249712,50.9,NA,5minute
0,NIFTY2161715800CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:00.382110,58.25,NA,5minute
1,NIFTY2161715850CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:00.579498,36.3,NA,5minute
2,NIFTY2161715900CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:00.767879,20.85,NA,5minute
3,NIFTY2161716250CE,1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:02.312187,2.0,NA,5minute
4,NIFTY2161715650PE,1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:02.685906,14.75,NA,5minute
5,NIFTY2161715550PE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:03.081928,6.2,NA,5minute
6,NIFTY2161715450PE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:03.467018,3.95,NA,5minute
7,NIFTY2161715300PE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:04.064367,2.75,NA,5minute
8,BANKNIFTY2161735200CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:04.581027,178.05,NA,5minute
9,BANKNIFTY2161735300CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:04.771999,137.0,NA,5minute
10,BANKNIFTY2161735500CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:05.138054,76.05,NA,5minute
11,BANKNIFTY2161735600CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:05.357270,54.95,NA,5minute
